                            Appendix A
               Merchant Category Codes (MCC) Blocked



       SPOTS Managing Account Merchant Authorization Controls

CODE      MERCHANT CATEGORY DESCRIPTION
4829      WIRE TRANSFER - MONEY ORDER
5681      FURRIERS AND FUR SHOPS
5932      ANTIQUE SHOPS
5933      PAWN SHOPS
5937      ANTIQUE REPRODUCTIONS
5944      JEWELRY STORES
6010      FINANCIAL INST/MANUAL CASH
6011      FINANCIAL INST/AUTO CASH
6012      FINANCIAL INST/MERCHANDISE
6050      QUASI CASH--MEMBER FINANCIAL
6051      NON-FIN INST/FC/MO/TC/STAMP
6211      SECURITY BROKERS/DEALERS
6529      REMOTE STORED VALUE LOAD-MEMBER FIN INSTITUTION
6530      REMOTE STORED VALUE LOAD - MERCHANT
6531      PYMT SVC PROV - MONEY TRANSFER FOR A PURCHASE
6532      PYMT SVC PROV - MEMBER FIN INSTITUTION - PYMT TRAN
6533      PYMT SVC PROV - MERCHANT - PYMT TRAN
6534      MONEY TRANSFER - MEMBER FINANCIAL INSTITUTION
6535      VALUE PURCHASE - MEMBER FINANCIAL INSTITUTION
6536      MONEYSPEND INTRACOUNTRY
6537      MASTERCARD MONEYSEND INTERCOUNTRY
6538      MONEYSEND FUNDING TXN
6540      POI FUNDING TXN
7273      DATING & ESCORT SERVICES
7297      MASSAGE PARLORS
7800      GOVERNMENT - OWNED LOTTERIES
7801      GOVERNMENT LICENSED CASINOS (ONLINE GAMBLING)
7802      GOVERNMENT LICENSED HORSE/DOG RACING
7995      BETTING/TRACK/CASINO/LOTTO
9406      GOVERNMENT - OWNED LOTTERIES (NON U.S. REGION)
9754      GAMBLING-HORSE RACING, DOG RACING, STATELOT
OAM 55.30.00

