                         OREGON REVISED STATUTES
                             2019 Renumbering


Formerly                                         Renumbered
ORCP 16B to 16D                                  ORCP 16C to 16E
30.865                                           30.831
90.531 to 90.543                                 90.560 to 90.568 and 90.572 to 90.582
97.850 and 97.860                                97.843 and 97.846
100.412                                          100.483
163.098 and 163.103                              163.109 and 163.111
171.557 (4)                                      171.558
196.905 and 196.910                              196.921 and 196.931
197.295 and 197.747                              197.286 and 197.627
238.231                                          238.235
243.800                                          243.815
308.520                                          308.524
314.730 to 314.752                               314.761 to 314.772
315.521                                          315.640
352.629                                          350.379
414.620 to 414.627, 414.629, 414.635, 414.637,   414.117, 414.570 to 414.575, 414.578, 414.590,
414.645 to 414.653, 414.661, 414.679, 414.685,   414.591, 414.595 to 414.619, 414.669 and
414.768 and 414.839                              414.772
416.400 to 416.486                               25.501 to 25.577
419B.022 and 419B.024                            418.804 and 418.811
430.241 and 430.242                              430.221 and 430.223
441.050, 441.057, 441.196 and 441.198            441.038, 441.044, 441.051 and 441.054
442.025 to 442.205, 442.464, 442.466, 442.600    442.310, 442.370 to 442.373, 442.601, 442.602,
and 442.625                                      442.860 and 442.870
442.765                                          441.078
443.435 and 443.440                              443.416 and 443.421
446.380 to 446.392 and 446.515 to 446.543        456.403 to 456.433
446.547                                          90.769
459A.739 and 459A.740                            459A.742 and 459A.743
561.750 to 561.760                               633.487 to 633.491
570.880                                          192.582
571.300 to 571.321                               571.269, 571.272 and 571.281 to 571.291
576.750 to 576.775                               576.850 to 576.877

